,market_ret
2014-03-03,0.0092073052
2014-03-04,-0.0018128067
2014-03-05,-0.0088772579
2014-03-06,0.0031630464000000002
2014-03-07,-0.0008108457
2014-03-10,-0.028593600900000002
2014-03-11,0.0010464892000000001
2014-03-12,-0.0017314983
2014-03-13,0.010721873
2014-03-14,-0.0073160911
2014-03-17,0.009646072799999999
2014-03-18,0.0007525919
2014-03-19,-0.0017094641999999998
2014-03-20,-0.0139756269
2014-03-21,0.0271585505
2014-03-24,0.009113023500000001
2014-03-25,0.0004994485
2014-03-26,-0.0017612251000000002
2014-03-27,-0.0082774862
2014-03-28,-0.002382502
2014-03-31,-0.0041171331
2014-04-01,0.0069610772
2014-04-02,0.0056303908
2014-04-03,-0.0074240355000000004
2014-04-04,0.0074027427
2014-04-08,0.0191628162
2014-04-09,0.0033136601
2014-04-10,0.0138050965
2014-04-11,-0.0017607647000000002
2014-04-14,0.000467956
2014-04-15,-0.014045250899999999
2014-04-16,0.0016753894
2014-04-17,-0.0029627737
2014-04-18,-0.0005417162
2014-04-21,-0.0152172711
2014-04-22,0.0033908955000000003
2014-04-23,-0.0026287719999999997
2014-04-24,-0.005005848
2014-04-25,-0.0099726159
2014-04-28,-0.0162198339
2014-04-29,0.0084123331
2014-04-30,0.0029782101
2014-05-05,0.0004910287
2014-05-06,0.000337879
2014-05-07,-0.008853384399999999
2014-05-08,0.0025824804
2014-05-09,-0.002053815
2014-05-12,0.0207524607
2014-05-13,-0.0010439039
2014-05-14,-0.0013741461999999998
2014-05-15,-0.0111997109
2014-05-16,0.0007555652999999999
2014-05-19,-0.010521074699999999
2014-05-20,0.0014642055
2014-05-21,0.0083819734
2014-05-22,-0.0018104142
2014-05-23,0.0065720569
2014-05-26,0.0033948222
2014-05-27,-0.0033852957
2014-05-28,0.0076984515
2014-05-29,-0.0046985018
2014-05-30,-0.0006777434999999999
2014-06-03,-0.0004447797
2014-06-04,-0.0066089226
2014-06-05,0.0079236125
2014-06-06,-0.0053516182999999995
2014-06-09,0.0002689713
2014-06-10,0.0108495338
2014-06-11,0.0011770827
2014-06-12,-0.0015742491
2014-06-13,0.0092615293
2014-06-16,0.0073732986
2014-06-17,-0.0092450418
2014-06-18,-0.0054091115
2014-06-19,-0.0154627615
2014-06-20,0.0014522652
2014-06-23,-0.0011393051
2014-06-24,0.0047254324
2014-06-25,-0.0041441917
2014-06-26,0.0065045604000000005
2014-06-27,-0.0010629443
2014-06-30,0.0058025740000000004
2014-07-01,0.0010027696
2014-07-02,0.0044074735
2014-07-03,0.0018505228000000001
2014-07-04,-0.0018679457999999998
2014-07-07,0.00026804250000000003
2014-07-08,0.0019874491
2014-07-09,-0.0123104368
2014-07-10,-0.0001324431
2014-07-11,0.0042284366
2014-07-14,0.0096166952
2014-07-15,0.0017956631000000001
2014-07-16,-0.0014881490999999998
2014-07-17,-0.0056523657
2014-07-18,0.0016909979
2014-07-21,-0.0022281936
2014-07-22,0.010222542999999999
2014-07-23,0.0014493026
2014-07-24,0.012784768200000001
2014-07-25,0.010238178300000001
2014-07-28,0.024138842299999998
2014-07-29,0.002407771
2014-07-30,-0.0008927295
2014-07-31,0.0093153308
2014-08-01,-0.007385211
2014-08-04,0.017401705899999998
2014-08-05,-0.0015229401
2014-08-06,-0.0011171448
2014-08-07,-0.0134369652
2014-08-08,0.0030882186
2014-08-11,0.0137753626
2014-08-12,-0.0013750453000000002
2014-08-13,0.0005770629
2014-08-14,-0.0073827747
2014-08-15,0.0091857296
2014-08-18,0.0057177912
2014-08-19,0.0026184814
2014-08-20,-0.0022798430999999997
2014-08-21,-0.0043536078
2014-08-22,0.0046420959000000005
2014-08-25,-0.005149026300000001
2014-08-26,-0.0099440446
2014-08-27,0.0010688204
2014-08-28,-0.0061766084
2014-08-29,0.0097376012
2014-09-01,0.0082586145
2014-09-02,0.0136590694
2014-09-03,0.0099649345
2014-09-04,0.0079676592
2014-09-05,0.0084833857
2014-09-09,4.0835100000000005e-05
2014-09-10,-0.003534023
2014-09-11,-0.0028581226
2014-09-12,0.0087689511
2014-09-15,0.0030832565
2014-09-16,-0.0182054088
2014-09-17,0.004936959899999999
2014-09-18,0.0034815306000000002
2014-09-19,0.005839128
2014-09-22,-0.0169932744
2014-09-23,0.0086695029
2014-09-24,0.0146584994
2014-09-25,0.0006519953
2014-09-26,0.0011150896
2014-09-29,0.0042564737
2014-09-30,0.0026122795
2014-10-08,0.0080055164
2014-10-09,0.002760205
2014-10-10,-0.0062070729
2014-10-13,-0.0035926957999999998
2014-10-14,-0.0027616125000000003
